obs,andip,pp,type,prat,rep,freq,arcf,ds,dm,di,gyn,fat,dem,con,etude,forma,prot,moyen,mac,tete,instr,cesar,deliv,stres,doul,fract,dechi,rupt,embo,ru,atoni,modif,aNAlg,delai,pos,ocyto,ph,epi,vent,vecu,kiwi
48,1999,1,3,1,0,0.25,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,2
49,2005,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0
50,2014,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2
51,2011,1,3,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2
52,2014,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,2
53,1993,1,3,1,0,0.25,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0
54,1986,1,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,2
55,2009,1,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0
56,2003,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,2
57,2000,1,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,2
58,2001,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
59,1992,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,2
60,2005,1,1,1,1,0.5,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
61,1993,1,1,1,0,1,1,0,0,1,0,1,1,0,,,,,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1
62,1982,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
63,2008,1,2,1,0,0.5,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2
64,1986,1,2,1,0,0.25,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
